	SV CODE	SV EXPERIMENT CODE	SV EXPERIMENT QA STATUS	SV EXPERIMENT SNR	SV EXPERIMENT WBW	SV IS A VALID EXPERIMENT?	SV IS A VALID VOXEL?
et2024 	svs000 	idf0000 	NA 	89.51 	5.12 	YES 	YES 	et2024 	svs000 	idf0000 	0 	89.51 	5.12 	0 	0
et2385 	svs000 	idf0000 	NA 	51.77 	7.42 	YES 	YES 	et2385 	svs000 	idf0000 	0 	51.77 	7.42 	0 	0
et2385 	svs000 	idf0001 	NA 	23.75 	7.42 	YES 	YES 	et2385 	svs000 	idf0001 	0 	23.75 	7.42 	0 	0
et2386 	svs000 	idf0000 	NA 	35.76 	7.58 	YES 	YES 	et2386 	svs000 	idf0000 	0 	35.76 	7.58 	0 	0
et2386 	svs000 	idf0001 	NA 	17.07 	7.58 	YES 	YES 	et2386 	svs000 	idf0001 	0 	17.07 	7.58 	0 	0
et2387 	svs000 	idf0000 	NA 	173.72 	7.58 	YES 	YES 	et2387 	svs000 	idf0000 	0 	173.72 	7.58 	0 	0
et2387 	svs000 	idf0001 	NA 	35.03 	7.58 	YES 	YES 	et2387 	svs000 	idf0001 	0 	35.03 	7.58 	0 	0
et2388 	svs000 	idf0000 	NA 	30.89 	3.64 	YES 	YES 	et2388 	svs000 	idf0000 	0 	30.89 	3.64 	0 	0
et2388 	svs000 	idf0001 	NA 	32.33 	3.05 	YES 	YES 	et2388 	svs000 	idf0001 	0 	32.33 	3.05 	0 	0
et2389 	svs000 	idf0000 	NA 	16.99 	4.62 	YES 	YES 	et2389 	svs000 	idf0000 	0 	16.99 	4.62 	0 	0
et2389 	svs000 	idf0001 	NA 	7.01 	4.62 	YES 	YES 	et2389 	svs000 	idf0001 	0 	7.01 	4.62 	0 	0
et2390 	svs000 	idf0000 	NA 	47.72 	7.58 	YES 	YES 	et2390 	svs000 	idf0000 	0 	47.72 	7.58 	0 	0
et2390 	svs000 	idf0001 	NA 	19 	7.58 	YES 	YES 	et2390 	svs000 	idf0001 	0 	19.0 	7.58 	0 	0
et2391 	svs000 	idf0000 	NA 	24.09 	6.38 	YES 	YES 	et2391 	svs000 	idf0000 	0 	24.09 	6.38 	0 	0
et2391 	svs000 	idf0001 	NA 	34.61 	5.52 	YES 	YES 	et2391 	svs000 	idf0001 	0 	34.61 	5.52 	0 	0
et2392 	svs000 	idf0000 	NA 	36 	3.82 	YES 	YES 	et2392 	svs000 	idf0000 	0 	36.0 	3.82 	0 	0
et2392 	svs000 	idf0001 	NA 	31.58 	3.32 	YES 	YES 	et2392 	svs000 	idf0001 	0 	31.58 	3.32 	0 	0
et2400 	svs000 	idf0000 	NA 	153.14 	4.62 	YES 	YES 	et2400 	svs000 	idf0000 	0 	153.14 	4.62 	0 	0
et2400 	svs000 	idf0001 	NA 	34.02 	4.62 	YES 	YES 	et2400 	svs000 	idf0001 	0 	34.02 	4.62 	0 	0
et2402 	svs000 	idf0003 	NA 	162.21 	4.49 	YES 	YES 	et2402 	svs000 	idf0003 	0 	162.21 	4.49 	0 	0
et2402 	svs000 	idf0005 	NA 	17.1 	4.13 	YES 	YES 	et2402 	svs000 	idf0005 	0 	17.1 	4.13 	0 	0
et2403 	svs000 	idf0000 	NA 	28.7 	2.11 	YES 	YES 	et2403 	svs000 	idf0000 	0 	28.7 	2.11 	0 	0
et2403 	svs000 	idf0001 	NA 	20.94 	1.86 	YES 	YES 	et2403 	svs000 	idf0001 	0 	20.94 	1.86 	0 	0
et2404 	svs002 	idf0000 	NA 	8.56 	6.08 	YES 	YES 	et2404 	svs002 	idf0000 	0 	8.56 	6.08 	0 	0
et2404 	svs002 	idf0001 	NA 	17.73 	5.99 	YES 	YES 	et2404 	svs002 	idf0001 	0 	17.73 	5.99 	0 	0
et2405 	svs002 	idf0000 	NA 	27.72 	5.32 	YES 	YES 	et2405 	svs002 	idf0000 	0 	27.72 	5.32 	0 	0
et2405 	svs002 	idf0001 	NA 	43.08 	6.21 	YES 	YES 	et2405 	svs002 	idf0001 	0 	43.08 	6.21 	0 	0
et2406 	svs002 	idf0000 	NA 	5.83 	13.53 	YES 	YES 	et2406 	svs002 	idf0000 	0 	5.83 	13.53 	0 	0
et2406 	svs002 	idf0001 	NA 	18.36 	18.09 	YES 	YES 	et2406 	svs002 	idf0001 	0 	18.36 	18.09 	0 	0
et2407 	svs002 	idf0000 	NA 	32.52 	4.17 	YES 	YES 	et2407 	svs002 	idf0000 	0 	32.52 	4.17 	0 	0
et2407 	svs002 	idf0001 	NA 	151.72 	4.52 	YES 	YES 	et2407 	svs002 	idf0001 	0 	151.72 	4.52 	0 	0
et2408 	svs002 	idf0000 	NA 	31.58 	6.56 	YES 	YES 	et2408 	svs002 	idf0000 	0 	31.58 	6.56 	0 	0
et2408 	svs002 	idf0001 	NA 	34.98 	6.81 	YES 	YES 	et2408 	svs002 	idf0001 	0 	34.98 	6.81 	0 	0
et2409 	svs002 	idf0000 	NA 	37.18 	6.66 	YES 	YES 	et2409 	svs002 	idf0000 	0 	37.18 	6.66 	0 	0
et2409 	svs002 	idf0001 	NA 	100.39 	7.61 	YES 	YES 	et2409 	svs002 	idf0001 	0 	100.39 	7.61 	0 	0
et2411 	svs000 	idf0006 	NA 			YES 	YES 	et2411 	svs000 	idf0006 	0 	0.0 	0.0 	0 	0
et2411 	svs000 	idf0007 	NA 			YES 	YES 	et2411 	svs000 	idf0007 	0 	0.0 	0.0 	0 	0
et2412 	svs000 	idf0000 	NA 	0 	0 	YES 	YES 	et2412 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et2412 	svs000 	idf0003 	NA 	28.5 	1.46 	YES 	YES 	et2412 	svs000 	idf0003 	0 	28.5 	1.46 	0 	0
et2415 	svs002 	idf0000 	NA 	27.7 	2.83 	YES 	YES 	et2415 	svs002 	idf0000 	0 	27.7 	2.83 	0 	0
et2415 	svs002 	idf0001 	NA 	57.16 	3.37 	YES 	YES 	et2415 	svs002 	idf0001 	0 	57.16 	3.37 	0 	0
et2416 	svs000 	idf0000 	NA 	68.41 	3.37 	YES 	YES 	et2416 	svs000 	idf0000 	0 	68.41 	3.37 	0 	0
et2416 	svs000 	idf0001 	NA 	46.23 	3.37 	YES 	YES 	et2416 	svs000 	idf0001 	0 	46.23 	3.37 	0 	0
et2417 	svs000 	idf0000 	NA 	29.38 	7.58 	YES 	YES 	et2417 	svs000 	idf0000 	0 	29.38 	7.58 	0 	0
et2417 	svs000 	idf0001 	NA 	27.13 	7.58 	YES 	YES 	et2417 	svs000 	idf0001 	0 	27.13 	7.58 	0 	0
et2418 	svs000 	idf0000 	NA 	28.49 	7.58 	YES 	YES 	et2418 	svs000 	idf0000 	0 	28.49 	7.58 	0 	0
et2418 	svs000 	idf0001 	NA 			YES 	YES 	et2418 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et2418 	svs000 	idf0003 	NA 	22.71 	7.58 	YES 	YES 	et2418 	svs000 	idf0003 	0 	22.71 	7.58 	0 	0
et2420 	svs002 	idf0000 	NA 	14.76 	2.48 	YES 	YES 	et2420 	svs002 	idf0000 	0 	14.76 	2.48 	0 	0
et2420 	svs002 	idf0001 	NA 	55.38 	3.25 	YES 	YES 	et2420 	svs002 	idf0001 	0 	55.38 	3.25 	0 	0
et2421 	svs002 	idf0000 	NA 	39.81 	4.52 	YES 	YES 	et2421 	svs002 	idf0000 	0 	39.81 	4.52 	0 	0
et2421 	svs002 	idf0001 	NA 	112.12 	5.06 	YES 	YES 	et2421 	svs002 	idf0001 	0 	112.12 	5.06 	0 	0
et2424 	svs000 	idf0000 	NA 	172.54 	5.12 	YES 	YES 	et2424 	svs000 	idf0000 	0 	172.54 	5.12 	0 	0
et2424 	svs000 	idf0001 	NA 	40.15 	4.63 	YES 	YES 	et2424 	svs000 	idf0001 	0 	40.15 	4.63 	0 	0
et2425 	svs000 	idf0000 	NA 	44.8 	4.14 	YES 	YES 	et2425 	svs000 	idf0000 	0 	44.8 	4.14 	0 	0
et2425 	svs000 	idf0002 	NA 	66.93 	3.66 	YES 	YES 	et2425 	svs000 	idf0002 	0 	66.93 	3.66 	0 	0
et2426 	svs000 	idf0000 	NA 	148 	2.44 	YES 	YES 	et2426 	svs000 	idf0000 	0 	148.0 	2.44 	0 	0
et2426 	svs000 	idf0001 	NA 	26.9 	2.44 	YES 	YES 	et2426 	svs000 	idf0001 	0 	26.9 	2.44 	0 	0
et2427 	svs000 	idf0000 	NA 	23.6 	6.58 	YES 	YES 	et2427 	svs000 	idf0000 	0 	23.6 	6.58 	0 	0
et2427 	svs000 	idf0001 	NA 	53.5 	5.85 	YES 	YES 	et2427 	svs000 	idf0001 	0 	53.5 	5.85 	0 	0
et2427 	svs000 	idf0005 	NA 	47.56 	5.36 	YES 	YES 	et2427 	svs000 	idf0005 	0 	47.56 	5.36 	0 	0
et2427 	svs000 	idf0006 	NA 	76.73 	5.61 	YES 	YES 	et2427 	svs000 	idf0006 	0 	76.73 	5.61 	0 	0
et2428 	svs000 	idf0000 	NA 	115.36 	5.79 	YES 	YES 	et2428 	svs000 	idf0000 	0 	115.36 	5.79 	0 	0
et2428 	svs000 	idf0006 	NA 	27.34 	4.42 	YES 	YES 	et2428 	svs000 	idf0006 	0 	27.34 	4.42 	0 	0
et2429 	svs000 	idf0000 	NA 	37.72 	7.58 	YES 	YES 	et2429 	svs000 	idf0000 	0 	37.72 	7.58 	0 	0
et2429 	svs000 	idf0001 	NA 	26.91 	7.58 	YES 	YES 	et2429 	svs000 	idf0001 	0 	26.91 	7.58 	0 	0
et2430 	svs000 	idf0000 	NA 	65.78 	0 	YES 	YES 	et2430 	svs000 	idf0000 	0 	65.78 	0.0 	0 	0
et2430 	svs000 	idf0001 	NA 	68.63 	3.86 	YES 	YES 	et2430 	svs000 	idf0001 	0 	68.63 	3.86 	0 	0
et2431 	svs000 	idf0000 	NA 	49.82 	4.62 	YES 	YES 	et2431 	svs000 	idf0000 	0 	49.82 	4.62 	0 	0
et2431 	svs000 	idf0001 	NA 	40.99 	4.62 	YES 	YES 	et2431 	svs000 	idf0001 	0 	40.99 	4.62 	0 	0
et2433 	svs000 	idf0001 	NA 	209 	3.39 	YES 	YES 	et2433 	svs000 	idf0001 	0 	209.0 	3.39 	0 	0
et2434 	svs000 	idf0001 	NA 	36.9 	2.77 	YES 	YES 	et2434 	svs000 	idf0001 	0 	36.9 	2.77 	0 	0
et2434 	svs000 	idf0002 	NA 	61.4 	3.1 	YES 	YES 	et2434 	svs000 	idf0002 	0 	61.4 	3.1 	0 	0
et2435 	svs000 	idf0000 	NA 	51.29 	1.93 	YES 	YES 	et2435 	svs000 	idf0000 	0 	51.29 	1.93 	0 	0
et2435 	svs000 	idf0001 	NA 	38.81 	1.82 	YES 	YES 	et2435 	svs000 	idf0001 	0 	38.81 	1.82 	0 	0
et2436 	svs000 	idf0000 	NA 	242 	3.11 	YES 	YES 	et2436 	svs000 	idf0000 	0 	242.0 	3.11 	0 	0
et2436 	svs000 	idf0001 	NA 	22.6 	2.67 	YES 	YES 	et2436 	svs000 	idf0001 	0 	22.6 	2.67 	0 	0
et2437 	svs000 	idf0004 	NA 			YES 	YES 	et2437 	svs000 	idf0004 	0 	0.0 	0.0 	0 	0
et2437 	svs000 	idf0005 	NA 			YES 	YES 	et2437 	svs000 	idf0005 	0 	0.0 	0.0 	0 	0
et2438 	svs000 	idf0000 	NA 	30.9 	3.51 	YES 	YES 	et2438 	svs000 	idf0000 	0 	30.9 	3.51 	0 	0
et2438 	svs000 	idf0001 	NA 	18.8 	3.58 	YES 	YES 	et2438 	svs000 	idf0001 	0 	18.8 	3.58 	0 	0
et2439 	svs000 	idf0000 	NA 	29.4 	3.94 	YES 	YES 	et2439 	svs000 	idf0000 	0 	29.4 	3.94 	0 	0
et2439 	svs000 	idf0001 	NA 	18.2 	3.74 	YES 	YES 	et2439 	svs000 	idf0001 	0 	18.2 	3.74 	0 	0
et2440 	svs000 	idf0000 	NA 	53.4 	4.23 	YES 	YES 	et2440 	svs000 	idf0000 	0 	53.4 	4.23 	0 	0
et2440 	svs000 	idf0001 	NA 	25.9 	3.53 	YES 	YES 	et2440 	svs000 	idf0001 	0 	25.9 	3.53 	0 	0
et2441 	svs000 	idf0000 	NA 	54.1 	5.46 	YES 	YES 	et2441 	svs000 	idf0000 	0 	54.1 	5.46 	0 	0
et2441 	svs000 	idf0001 	NA 	35.9 	4.66 	YES 	YES 	et2441 	svs000 	idf0001 	0 	35.9 	4.66 	0 	0
et2442 	svs000 	idf0000 	NA 	34.6 	2.86 	YES 	YES 	et2442 	svs000 	idf0000 	0 	34.6 	2.86 	0 	0
et2442 	svs000 	idf0001 	NA 	28.86 	2.7 	YES 	YES 	et2442 	svs000 	idf0001 	0 	28.86 	2.7 	0 	0
et2443 	svs000 	idf0000 	NA 	24.18 	4.13 	YES 	YES 	et2443 	svs000 	idf0000 	0 	24.18 	4.13 	0 	0
et2443 	svs000 	idf0001 	NA 	18.42 	4.13 	YES 	YES 	et2443 	svs000 	idf0001 	0 	18.42 	4.13 	0 	0
et2444 	svs000 	idf0000 	NA 	34.75 	3.66 	YES 	YES 	et2444 	svs000 	idf0000 	0 	34.75 	3.66 	0 	0
et2444 	svs000 	idf0001 	NA 	28.68 	3.66 	YES 	YES 	et2444 	svs000 	idf0001 	0 	28.68 	3.66 	0 	0
et2445 	svs000 	idf0000 	NA 	44.98 	7.58 	YES 	YES 	et2445 	svs000 	idf0000 	0 	44.98 	7.58 	0 	0
et2446 	svs000 	idf0000 	NA 	81.87 	7.58 	YES 	YES 	et2446 	svs000 	idf0000 	0 	81.87 	7.58 	0 	0
et2446 	svs000 	idf0001 	NA 	34.64 	7.58 	YES 	YES 	et2446 	svs000 	idf0001 	0 	34.64 	7.58 	0 	0
et2447 	svs000 	idf0000 	NA 	22.03 	4.62 	YES 	YES 	et2447 	svs000 	idf0000 	0 	22.03 	4.62 	0 	0
et2448 	svs000 	idf0000 	NA 	87.1 	4.13 	YES 	YES 	et2448 	svs000 	idf0000 	0 	87.1 	4.13 	0 	0
et2448 	svs000 	idf0001 	NA 	68.4 	4.13 	YES 	YES 	et2448 	svs000 	idf0001 	0 	68.4 	4.13 	0 	0
et2450 	svs000 	idf0000 	NA 	31.2 	3.86 	YES 	YES 	et2450 	svs000 	idf0000 	0 	31.2 	3.86 	0 	0
et2450 	svs000 	idf0001 	NA 	132 		YES 	YES 	et2450 	svs000 	idf0001 	0 	132.0 	0.0 	0 	0
et2451 	svs000 	idf0000 	NA 	72.63 	4.62 	YES 	YES 	et2451 	svs000 	idf0000 	0 	72.63 	4.62 	0 	0
et2451 	svs000 	idf0001 	NA 	23.31 	4.62 	YES 	YES 	et2451 	svs000 	idf0001 	0 	23.31 	4.62 	0 	0
et2453 	svs000 	idf0000 	NA 	234.14 	7.58 	YES 	YES 	et2453 	svs000 	idf0000 	0 	234.14 	7.58 	0 	0
et2453 	svs000 	idf0001 	NA 	38.64 	7.58 	YES 	YES 	et2453 	svs000 	idf0001 	0 	38.64 	7.58 	0 	0
et2454 	svs000 	idf0000 	NA 	50.24 	7.58 	YES 	YES 	et2454 	svs000 	idf0000 	0 	50.24 	7.58 	0 	0
et2454 	svs000 	idf0001 	NA 	29.09 	7.58 	YES 	YES 	et2454 	svs000 	idf0001 	0 	29.09 	7.58 	0 	0
et2460 	svs000 	idf0001 	NA 	32.04 	3.7 	YES 	YES 	et2460 	svs000 	idf0001 	0 	32.04 	3.7 	0 	0
et2462 	svs000 	idf0000 	NA 	35.19 	6.8 	YES 	YES 	et2462 	svs000 	idf0000 	0 	35.19 	6.8 	0 	0
et2464 	svs000 	idf0000 	NA 	44.4 	2.68 	YES 	YES 	et2464 	svs000 	idf0000 	0 	44.4 	2.68 	0 	0
et2464 	svs000 	idf0001 	NA 	37.9 	2.44 	YES 	YES 	et2464 	svs000 	idf0001 	0 	37.9 	2.44 	0 	0
et2465 	svs000 	idf0000 	NA 	28.4 	2.19 	YES 	YES 	et2465 	svs000 	idf0000 	0 	28.4 	2.19 	0 	0
et2465 	svs000 	idf0001 	NA 	18.8 	1.95 	YES 	YES 	et2465 	svs000 	idf0001 	0 	18.8 	1.95 	0 	0
et2466 	svs000 	idf0000 	NA 	57.6 	4.88 	YES 	YES 	et2466 	svs000 	idf0000 	0 	57.6 	4.88 	0 	0
et2466 	svs000 	idf0001 	NA 	40.1 	4.88 	YES 	YES 	et2466 	svs000 	idf0001 	0 	40.1 	4.88 	0 	0
et2467 	svs000 	idf0000 	NA 	54.5 	3.17 	YES 	YES 	et2467 	svs000 	idf0000 	0 	54.5 	3.17 	0 	0
et2467 	svs000 	idf0001 	NA 	51.9 	2.68 	YES 	YES 	et2467 	svs000 	idf0001 	0 	51.9 	2.68 	0 	0
et2468 	svs000 	idf0000 	NA 	103 	2.93 	YES 	YES 	et2468 	svs000 	idf0000 	0 	103.0 	2.93 	0 	0
et2468 	svs000 	idf0001 	NA 	27.4 	2.93 	YES 	YES 	et2468 	svs000 	idf0001 	0 	27.4 	2.93 	0 	0
et2468 	svs001 	idf0000 	NA 	18.3 	1.71 	YES 	YES 	et2468 	svs001 	idf0000 	0 	18.3 	1.71 	0 	0
et2468 	svs001 	idf0001 	NA 	16.5 	1.71 	YES 	YES 	et2468 	svs001 	idf0001 	0 	16.5 	1.71 	0 	0
et2469 	svs000 	idf0000 	NA 	250 	3.9 	YES 	YES 	et2469 	svs000 	idf0000 	0 	250.0 	3.9 	0 	0
et2469 	svs000 	idf0001 	NA 			YES 	YES 	et2469 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et2470 	svs000 	idf0000 	NA 	94.1 	5.61 	YES 	YES 	et2470 	svs000 	idf0000 	0 	94.1 	5.61 	0 	0
et2470 	svs000 	idf0001 	NA 	109 	5.36 	YES 	YES 	et2470 	svs000 	idf0001 	0 	109.0 	5.36 	0 	0
et2471 	svs000 	idf0000 	NA 	48.8 	3.41 	YES 	YES 	et2471 	svs000 	idf0000 	0 	48.8 	3.41 	0 	0
et2480 	svs000 	idf0001 	NA 	240 	5.49 	YES 	YES 	et2480 	svs000 	idf0001 	0 	240.0 	5.49 	0 	0
et2482 	svs000 	idf0001 	NA 	93.8 	4.27 	YES 	YES 	et2482 	svs000 	idf0001 	0 	93.8 	4.27 	0 	0
et2483 	svs000 	idf0001 	NA 	63.6 	6.1 	YES 	YES 	et2483 	svs000 	idf0001 	0 	63.6 	6.1 	0 	0
et2485 	svs000 	idf0001 	NA 	197 	5.49 	YES 	YES 	et2485 	svs000 	idf0001 	0 	197.0 	5.49 	0 	0
et2486 	svs000 	idf0001 	NA 	224 	4.88 	YES 	YES 	et2486 	svs000 	idf0001 	0 	224.0 	4.88 	0 	0
et2486 	svs001 	idf0000 	NA 	16.9 	4.27 	YES 	YES 	et2486 	svs001 	idf0000 	0 	16.9 	4.27 	0 	0
et2488 	svs000 	idf0012 	NA 	34.8 	4.14 	YES 	YES 	et2488 	svs000 	idf0012 	0 	34.8 	4.14 	0 	0
et2489 	svs000 	idf0000 	NA 	82.53 	3.8 	YES 	YES 	et2489 	svs000 	idf0000 	0 	82.53 	3.8 	0 	0
et2492 	svs000 	idf0002 	NA 	0 	-0.61 	YES 	YES 	et2492 	svs000 	idf0002 	0 	0.0 	-0.61 	0 	0
et2492 	svs001 	idf0000 	NA 		-0.61 	YES 	YES 	et2492 	svs001 	idf0000 	0 	0.0 	-0.61 	0 	0
et2497 	svs000 	idf0000 	NA 	15.05 	4.13 	YES 	YES 	et2497 	svs000 	idf0000 	0 	15.05 	4.13 	0 	0
et2497 	svs000 	idf0001 	NA 	12.88 	4.13 	YES 	YES 	et2497 	svs000 	idf0001 	0 	12.88 	4.13 	0 	0
et2498 	svs000 	idf0000 	NA 	28.46 	7.58 	YES 	YES 	et2498 	svs000 	idf0000 	0 	28.46 	7.58 	0 	0
et2498 	svs000 	idf0001 	NA 	20.17 	7.58 	YES 	YES 	et2498 	svs000 	idf0001 	0 	20.17 	7.58 	0 	0
et2499 	svs000 	idf0000 	NA 	134.03 	4.62 	YES 	YES 	et2499 	svs000 	idf0000 	0 	134.03 	4.62 	0 	0
et2499 	svs000 	idf0001 	NA 	12.8 	4.62 	YES 	YES 	et2499 	svs000 	idf0001 	0 	12.8 	4.62 	0 	0
et2500 	svs002 	idf0000 	NA 	20.42 	5.48 	YES 	YES 	et2500 	svs002 	idf0000 	0 	20.42 	5.48 	0 	0
et2500 	svs002 	idf0001 	NA 	23.13 	5.76 	YES 	YES 	et2500 	svs002 	idf0001 	0 	23.13 	5.76 	0 	0
et2501 	svs004 	idf0000 	NA 	20.3 	7.61 	YES 	YES 	et2501 	svs004 	idf0000 	0 	20.3 	7.61 	0 	0
et2501 	svs004 	idf0001 	NA 	17.63 	7.8 	YES 	YES 	et2501 	svs004 	idf0001 	0 	17.63 	7.8 	0 	0
et2502 	svs002 	idf0000 	NA 	26.67 	6.81 	YES 	YES 	et2502 	svs002 	idf0000 	0 	26.67 	6.81 	0 	0
et2502 	svs002 	idf0001 	NA 	20.99 	6.88 	YES 	YES 	et2502 	svs002 	idf0001 	0 	20.99 	6.88 	0 	0
et2503 	svs002 	idf0000 	NA 	32.68 	4.33 	YES 	YES 	et2503 	svs002 	idf0000 	0 	32.68 	4.33 	0 	0
et2503 	svs002 	idf0001 	NA 	166.6 	4.01 	YES 	YES 	et2503 	svs002 	idf0001 	0 	166.6 	4.01 	0 	0
et2504 	svs002 	idf0000 	NA 	42.54 	6.27 	YES 	YES 	et2504 	svs002 	idf0000 	0 	42.54 	6.27 	0 	0
et2504 	svs002 	idf0001 	NA 	56.1 	6.15 	YES 	YES 	et2504 	svs002 	idf0001 	0 	56.1 	6.15 	0 	0
et2505 	svs000 	idf0000 	NA 	53.5 	5.85 	YES 	YES 	et2505 	svs000 	idf0000 	0 	53.5 	5.85 	0 	0
et2505 	svs000 	idf0001 	NA 	23.6 	6.58 	YES 	YES 	et2505 	svs000 	idf0001 	0 	23.6 	6.58 	0 	0
et2506 	svs000 	idf0000 	NA 	88.62 	5.9 	YES 	YES 	et2506 	svs000 	idf0000 	0 	88.62 	5.9 	0 	0
et2506 	svs000 	idf0001 	NA 	16.69 	5.68 	YES 	YES 	et2506 	svs000 	idf0001 	0 	16.69 	5.68 	0 	0
et2507 	svs000 	idf0000 	NA 	70.76 	5.92 	YES 	YES 	et2507 	svs000 	idf0000 	0 	70.76 	5.92 	0 	0
et2508 	svs000 	idf0000 	NA 	11.76 	4.43 	YES 	YES 	et2508 	svs000 	idf0000 	0 	11.76 	4.43 	0 	0
et2509 	svs000 	idf0000 	NA 	85.46 	6.06 	YES 	YES 	et2509 	svs000 	idf0000 	0 	85.46 	6.06 	0 	0
et2509 	svs000 	idf0001 	NA 	56.59 	5.4 	YES 	YES 	et2509 	svs000 	idf0001 	0 	56.59 	5.4 	0 	0
et2510 	svs000 	idf0000 	NA 	33.52 	5.34 	YES 	YES 	et2510 	svs000 	idf0000 	0 	33.52 	5.34 	0 	0
et2510 	svs000 	idf0001 	NA 	14.31 	4.85 	YES 	YES 	et2510 	svs000 	idf0001 	0 	14.31 	4.85 	0 	0
et2511 	svs000 	idf0000 	NA 	107.56 	7 	YES 	YES 	et2511 	svs000 	idf0000 	0 	107.56 	7.0 	0 	0
et2512 	svs000 	idf0000 	NA 	57.24 	4.29 	YES 	YES 	et2512 	svs000 	idf0000 	0 	57.24 	4.29 	0 	0
et2512 	svs000 	idf0001 	NA 	43.78 	2.65 	YES 	YES 	et2512 	svs000 	idf0001 	0 	43.78 	2.65 	0 	0
et2513 	svs000 	idf0000 	NA 	57.24 	5.61 	YES 	YES 	et2513 	svs000 	idf0000 	0 	57.24 	5.61 	0 	0
et2513 	svs000 	idf0001 	NA 	43.78 	5.63 	YES 	YES 	et2513 	svs000 	idf0001 	0 	43.78 	5.63 	0 	0
et2514 	svs000 	idf0001 	NA 	18.73 	6.06 	YES 	YES 	et2514 	svs000 	idf0001 	0 	18.73 	6.06 	0 	0
et2514 	svs000 	idf0002 	NA 	56.46 	7.06 	YES 	YES 	et2514 	svs000 	idf0002 	0 	56.46 	7.06 	0 	0
et2515 	svs000 	idf0000 	NA 	21.17 	9.78 	YES 	YES 	et2515 	svs000 	idf0000 	0 	21.17 	9.78 	0 	0
et2516 	svs000 	idf0000 	NA 	31.6 	4.69 	YES 	YES 	et2516 	svs000 	idf0000 	0 	31.6 	4.69 	0 	0
et2516 	svs000 	idf0001 	NA 	35.9 	4.82 	YES 	YES 	et2516 	svs000 	idf0001 	0 	35.9 	4.82 	0 	0
et2517 	svs000 	idf0002 	NA 	74.6 	4.8 	YES 	YES 	et2517 	svs000 	idf0002 	0 	74.6 	4.8 	0 	0
et2517 	svs000 	idf0003 	NA 	66.13 	5.69 	YES 	YES 	et2517 	svs000 	idf0003 	0 	66.13 	5.69 	0 	0
et2518 	svs000 	idf0000 	NA 	39.86 	5.66 	YES 	YES 	et2518 	svs000 	idf0000 	0 	39.86 	5.66 	0 	0
et2519 	svs002 	idf0000 	NA 	7.26 	5.83 	YES 	YES 	et2519 	svs002 	idf0000 	0 	7.26 	5.83 	0 	0
et2519 	svs002 	idf0001 	NA 	11.68 	6.43 	YES 	YES 	et2519 	svs002 	idf0001 	0 	11.68 	6.43 	0 	0
et2520 	svs002 	idf0000 	NA 	23.93 	4.68 	YES 	YES 	et2520 	svs002 	idf0000 	0 	23.93 	4.68 	0 	0
et2520 	svs002 	idf0001 	NA 	31.24 	5.16 	YES 	YES 	et2520 	svs002 	idf0001 	0 	31.24 	5.16 	0 	0
et2521 	svs002 	idf0000 	NA 	38.34 	5.6 	YES 	YES 	et2521 	svs002 	idf0000 	0 	38.34 	5.6 	0 	0
et2521 	svs002 	idf0001 	NA 	37.14 	6.4 	YES 	YES 	et2521 	svs002 	idf0001 	0 	37.14 	6.4 	0 	0
et2522 	svs000 	idf0000 	NA 	64.6 	6.34 	YES 	YES 	et2522 	svs000 	idf0000 	0 	64.6 	6.34 	0 	0
et2522 	svs000 	idf0001 	NA 	34.29 	6.34 	YES 	YES 	et2522 	svs000 	idf0001 	0 	34.29 	6.34 	0 	0
et2524 	svs000 	idf0000 	NA 	79.6 	16.69 	YES 	YES 	et2524 	svs000 	idf0000 	0 	79.6 	16.69 	0 	0
et2527 	svs000 	idf0002 	NA 	68.96 	16.69 	YES 	YES 	et2527 	svs000 	idf0002 	0 	68.96 	16.69 	0 	0
et2528 	svs000 	idf0001 	NA 			YES 	YES 	et2528 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et2528 	svs000 	idf0004 	NA 			YES 	YES 	et2528 	svs000 	idf0004 	0 	0.0 	0.0 	0 	0
et2528 	svs000 	idf0005 	NA 			YES 	YES 	et2528 	svs000 	idf0005 	0 	0.0 	0.0 	0 	0
et2528 	svs000 	idf0006 	NA 			YES 	YES 	et2528 	svs000 	idf0006 	0 	0.0 	0.0 	0 	0
et2529 	svs000 	idf0001 	NA 			YES 	YES 	et2529 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et2529 	svs001 	idf0000 	NA 	20.06 	3.06 	YES 	YES 	et2529 	svs001 	idf0000 	0 	20.06 	3.06 	0 	0
et2530 	svs000 	idf0001 	NA 		4.3 	YES 	YES 	et2530 	svs000 	idf0001 	0 	0.0 	4.3 	0 	0
et2530 	svs001 	idf0001 	NA 		4.3 	YES 	YES 	et2530 	svs001 	idf0001 	0 	0.0 	4.3 	0 	0
et2540 	svs000 	idf0006 	NA 	54.69 	5.45 	YES 	YES 	et2540 	svs000 	idf0006 	0 	54.69 	5.45 	0 	0
et2541 	svs000 	idf0000 	NA 	61.4 	4.3 	YES 	YES 	et2541 	svs000 	idf0000 	0 	61.4 	4.3 	0 	0
